Season_year,Season_div,Date,OPP,Result,T Score,O Score,MIN,FG,FGM,FGA,FG%,3PT,3PTM,3PTA,3P%,FT,FTM,FTA,FT%,REB,AST,BLK,STL,PF,TO,PTS
2014-2015,Post,Thu 4/23,NOP,W,123,119,44.0,10-29,10,29,34.5,7-18,7,18,38.9,13-14,13,14,92.9,5,9,0,0,3,3,40
2014-2015,Post,Mon 4/20,NOP,W,97,87,37.0,9-21,9,21,42.9,3-9,3,9,33.3,1-1,1,1,100.0,4,6,0,1,1,5,22
2014-2015,Post,Sat 4/18,NOP,W,106,99,40.0,13-25,13,25,52.0,4-13,4,13,30.8,4-7,4,7,57.1,4,5,0,3,4,3,34
2015-2016,Post,Sun 6/19,CLE,L,89,93,39.0,6-19,6,19,31.6,4-14,4,14,28.6,1-1,1,1,100.0,5,2,1,1,4,4,17
2015-2016,Post,Thu 6/16,CLE,L,101,115,35.0,8-20,8,20,40.0,6-13,6,13,46.2,8-9,8,9,88.9,2,1,0,1,6,4,30
2015-2016,Post,Mon 6/13,CLE,L,97,112,40.0,8-21,8,21,38.1,5-15,5,15,33.3,4-4,4,4,100.0,7,4,3,0,2,4,25
2015-2016,Post,Fri 6/10,CLE,W,108,97,40.0,11-25,11,25,44.0,7-13,7,13,53.8,9-10,9,10,90.0,5,6,0,2,3,3,38
2015-2016,Post,Wed 6/8,CLE,L,90,120,31.0,6-13,6,13,46.2,3-9,3,9,33.3,4-4,4,4,100.0,1,3,0,2,4,6,19
2015-2016,Post,Sun 6/5,CLE,W,110,77,25.0,7-11,7,11,63.6,4-8,4,8,50.0,0-0,0,0,0.0,9,4,1,0,4,4,18
2015-2016,Post,Thu 6/2,CLE,W,104,89,36.0,4-15,4,15,26.7,3-8,3,8,37.5,0-0,0,0,0.0,5,6,0,0,2,5,11
2015-2016,Post,Mon 5/30,OKC,W,96,88,40.0,13-24,13,24,54.2,7-12,7,12,58.3,3-3,3,3,100.0,5,8,0,0,1,3,36
2015-2016,Post,Sat 5/28,OKC,W,108,101,41.0,9-22,9,22,40.9,6-14,6,14,42.9,7-9,7,9,77.8,10,9,0,2,3,3,31
2015-2016,Post,Thu 5/26,OKC,W,120,111,37.0,9-20,9,20,45.0,3-8,3,8,37.5,10-10,10,10,100.0,7,6,0,5,0,5,31
2015-2016,Post,Tue 5/24,OKC,L,94,118,39.0,6-20,6,20,30.0,2-10,2,10,20.0,5-7,5,7,71.4,5,5,0,2,2,6,19
2015-2016,Post,Sun 5/22,OKC,L,105,133,30.0,7-17,7,17,41.2,3-11,3,11,27.3,7-8,7,8,87.5,5,3,0,2,1,1,24
2015-2016,Post,Wed 5/18,OKC,W,118,91,30.0,9-15,9,15,60.0,5-8,5,8,62.5,5-5,5,5,100.0,2,3,0,1,0,3,28
2015-2016,Post,Mon 5/16,OKC,L,102,108,40.0,9-22,9,22,40.9,6-14,6,14,42.9,2-2,2,2,100.0,10,7,0,3,3,7,26
2015-2016,Post,Wed 5/11,POR,W,125,121,37.0,10-20,10,20,50.0,5-11,5,11,45.5,4-4,4,4,100.0,5,11,0,1,2,4,29
2015-2016,Post,Mon 5/9,POR,W,132,125,37.0,16-32,16,32,50.0,5-16,5,16,31.3,3-3,3,3,100.0,9,8,0,0,2,4,40
2015-2016,Post,Sun 4/24,HOU,W,121,94,19.0,2-9,2,9,22.2,1-7,1,7,14.3,1-1,1,1,100.0,0,5,0,1,0,5,6
2015-2016,Post,Sat 4/16,HOU,W,104,78,20.0,8-13,8,13,61.5,5-7,5,7,71.4,3-3,3,3,100.0,7,2,0,3,0,4,24
2016-2017,Post,Mon 6/12,CLE,W,129,120,41.0,10-20,10,20,50.0,2-9,2,9,22.2,12-15,12,15,80.0,6,10,0,3,3,4,34
2016-2017,Post,Fri 6/9,CLE,L,116,137,38.0,4-13,4,13,30.8,2-9,2,9,22.2,4-5,4,5,80.0,5,10,0,2,2,4,14
2016-2017,Post,Wed 6/7,CLE,W,118,113,39.0,8-19,8,19,42.1,5-9,5,9,55.6,5-5,5,5,100.0,13,6,0,2,3,1,26
2016-2017,Post,Sun 6/4,CLE,W,132,113,36.0,7-17,7,17,41.2,4-11,4,11,36.4,14-14,14,14,100.0,10,11,0,1,3,8,32
2016-2017,Post,Thu 6/1,CLE,W,113,91,34.0,11-22,11,22,50.0,6-11,6,11,54.5,0-0,0,0,0.0,6,10,0,3,3,2,28
2016-2017,Post,Mon 5/22,SAS,W,129,115,34.0,14-24,14,24,58.3,5-13,5,13,38.5,3-3,3,3,100.0,5,6,0,0,2,6,36
2016-2017,Post,Sat 5/20,SAS,W,120,108,34.0,8-15,8,15,53.3,3-7,3,7,42.9,2-2,2,2,100.0,5,3,0,6,3,5,21
2016-2017,Post,Tue 5/16,SAS,W,136,100,31.0,8-13,8,13,61.5,6-9,6,9,66.7,7-7,7,7,100.0,7,7,0,3,3,2,29
2016-2017,Post,Sun 5/14,SAS,W,113,111,39.0,14-26,14,26,53.8,7-16,7,16,43.8,5-7,5,7,71.4,7,3,0,3,0,3,40
2016-2017,Post,Mon 5/8,UTA,W,121,95,35.0,9-15,9,15,60.0,4-10,4,10,40.0,8-8,8,8,100.0,5,7,1,0,2,2,30
2016-2017,Post,Sat 5/6,UTA,W,102,91,37.0,6-20,6,20,30.0,3-11,3,11,27.3,8-9,8,9,88.9,5,4,0,0,2,0,23
2016-2017,Post,Thu 5/4,UTA,W,115,104,38.0,8-15,8,15,53.3,5-8,5,8,62.5,2-2,2,2,100.0,4,6,0,2,3,3,23
2016-2017,Post,Tue 5/2,UTA,W,106,94,30.0,7-11,7,11,63.6,1-4,1,4,25.0,7-7,7,7,100.0,7,5,0,1,1,4,22
2016-2017,Post,Mon 4/24,POR,W,128,103,30.0,12-20,12,20,60.0,7-11,7,11,63.6,6-7,6,7,85.7,7,8,0,1,0,4,37
2016-2017,Post,Sat 4/22,POR,W,119,113,39.0,10-25,10,25,40.0,5-14,5,14,35.7,9-10,9,10,90.0,4,8,1,2,1,1,34
2016-2017,Post,Wed 4/19,POR,W,110,81,31.0,6-18,6,18,33.3,4-12,4,12,33.3,3-5,3,5,60.0,5,6,1,4,1,4,19
2016-2017,Post,Sun 4/16,POR,W,121,109,36.0,9-19,9,19,47.4,3-8,3,8,37.5,8-8,8,8,100.0,5,4,1,1,5,5,29
2017-2018,Post,Fri 6/8,CLE,W,108,85,39.0,12-27,12,27,44.4,7-15,7,15,46.7,6-6,6,6,100.0,6,4,3,3,4,2,37
2017-2018,Post,Wed 6/6,CLE,W,110,102,39.0,3-16,3,16,18.8,1-10,1,10,10.0,4-4,4,4,100.0,5,6,0,1,3,2,11
2017-2018,Post,Sun 6/3,CLE,W,122,103,38.0,11-26,11,26,42.3,9-17,9,17,52.9,2-2,2,2,100.0,7,8,0,1,3,5,33
2017-2018,Post,Thu 5/31,CLE,W,124,114,46.0,11-23,11,23,47.8,5-11,5,11,45.5,2-2,2,2,100.0,6,9,0,1,1,2,29
2017-2018,Post,Mon 5/28,HOU,W,101,92,44.0,10-22,10,22,45.5,7-15,7,15,46.7,0-0,0,0,0.0,9,10,1,4,4,5,27
2017-2018,Post,Sat 5/26,HOU,W,115,86,40.0,12-23,12,23,52.2,5-14,5,14,35.7,0-0,0,0,0.0,5,6,3,0,2,2,29
2017-2018,Post,Thu 5/24,HOU,L,94,98,41.0,8-17,8,17,47.1,2-8,2,8,25.0,4-5,4,5,80.0,7,6,0,4,2,3,22
2017-2018,Post,Tue 5/22,HOU,L,92,95,39.0,10-26,10,26,38.5,6-13,6,13,46.2,2-2,2,2,100.0,6,2,0,2,3,3,28
2017-2018,Post,Sun 5/20,HOU,W,126,85,34.0,13-23,13,23,56.5,5-12,5,12,41.7,4-4,4,4,100.0,6,1,1,0,2,1,35
2017-2018,Post,Wed 5/16,HOU,L,105,127,34.0,7-19,7,19,36.8,1-8,1,8,12.5,1-1,1,1,100.0,7,7,0,0,3,2,16
2017-2018,Post,Mon 5/14,HOU,W,119,106,35.0,8-15,8,15,53.3,1-5,1,5,20.0,1-2,1,2,50.0,6,8,1,2,5,1,18
2017-2018,Post,Tue 5/8,NOP,W,113,104,37.0,10-16,10,16,62.5,3-6,3,6,50.0,5-5,5,5,100.0,7,8,0,1,2,4,28
2017-2018,Post,Sun 5/6,NOP,W,118,92,32.0,8-17,8,17,47.1,4-9,4,9,44.4,3-3,3,3,100.0,1,2,0,0,1,2,23
2017-2018,Post,Fri 5/4,NOP,L,100,119,29.0,6-19,6,19,31.6,3-9,3,9,33.3,4-4,4,4,100.0,6,2,2,4,1,3,19
2017-2018,Post,Tue 5/1,NOP,W,121,116,27.0,8-15,8,15,53.3,5-10,5,10,50.0,7-7,7,7,100.0,7,2,0,3,2,6,28
2018-2019,Post,Thu 6/13,TOR,L,110,114,42.0,6-17,6,17,35.3,3-11,3,11,27.3,6-6,6,6,100.0,3,7,1,2,3,3,21
2018-2019,Post,Mon 6/10,TOR,W,106,105,41.0,10-23,10,23,43.5,5-14,5,14,35.7,6-6,6,6,100.0,8,7,0,0,0,4,31
2018-2019,Post,Fri 6/7,TOR,L,92,105,43.0,9-22,9,22,40.9,2-9,2,9,22.2,7-8,7,8,87.5,4,6,0,1,4,3,27
2018-2019,Post,Wed 6/5,TOR,L,109,123,43.0,14-31,14,31,45.2,6-14,6,14,42.9,13-14,13,14,92.9,8,7,0,2,1,3,47
2018-2019,Post,Sun 6/2,TOR,W,109,104,41.0,6-17,6,17,35.3,3-10,3,10,30.0,8-9,8,9,88.9,3,4,0,3,3,1,23
2018-2019,Post,Thu 5/30,TOR,L,109,118,40.0,8-18,8,18,44.4,4-9,4,9,44.4,14-14,14,14,100.0,5,5,0,1,4,3,34
2018-2019,Post,Mon 5/20,POR,W,119,117,47.0,11-25,11,25,44.0,7-16,7,16,43.8,8-9,8,9,88.9,13,11,0,1,0,2,37
2018-2019,Post,Sat 5/18,POR,W,110,99,37.0,11-26,11,26,42.3,6-16,6,16,37.5,8-9,8,9,88.9,6,3,0,0,3,5,36
2018-2019,Post,Thu 5/16,POR,W,114,111,39.0,11-22,11,22,50.0,4-14,4,14,28.6,11-11,11,11,100.0,8,8,0,0,2,6,37
2018-2019,Post,Tue 5/14,POR,W,116,94,35.0,12-23,12,23,52.2,9-15,9,15,60.0,3-3,3,3,100.0,6,7,0,1,3,1,36
2018-2019,Post,Fri 5/10,HOU,W,118,113,34.0,9-20,9,20,45.0,4-11,4,11,36.4,11-11,11,11,100.0,5,4,0,0,4,3,33
2018-2019,Post,Wed 5/8,HOU,W,104,99,44.0,9-23,9,23,39.1,3-11,3,11,27.3,4-5,4,5,80.0,6,5,0,0,2,3,25
2018-2019,Post,Mon 5/6,HOU,L,108,112,43.0,12-25,12,25,48.0,4-14,4,14,28.6,2-2,2,2,100.0,4,8,0,1,3,3,30
2018-2019,Post,Sat 5/4,HOU,L,121,126,45.0,7-23,7,23,30.4,2-9,2,9,22.2,1-3,1,3,33.3,3,4,0,2,5,3,17
2018-2019,Post,Tue 4/30,HOU,W,115,109,33.0,6-16,6,16,37.5,3-13,3,13,23.1,5-5,5,5,100.0,3,5,1,2,5,3,20
2018-2019,Post,Sun 4/28,HOU,W,104,100,37.0,5-12,5,12,41.7,3-10,3,10,30.0,5-5,5,5,100.0,7,4,0,1,5,3,18
2018-2019,Post,Fri 4/26,LAC,W,129,110,38.0,8-14,8,14,57.1,2-5,2,5,40.0,6-6,6,6,100.0,6,6,0,1,2,1,24
2018-2019,Post,Wed 4/24,LAC,L,121,129,38.0,7-15,7,15,46.7,4-5,4,5,80.0,6-6,6,6,100.0,3,4,1,0,2,3,24
2018-2019,Post,Sun 4/21,LAC,W,113,105,35.0,3-14,3,14,21.4,1-9,1,9,11.1,5-5,5,5,100.0,10,7,0,3,4,3,12
2018-2019,Post,Thu 4/18,LAC,W,132,105,20.0,7-11,7,11,63.6,4-6,4,6,66.7,3-3,3,3,100.0,5,1,0,0,5,2,21
2018-2019,Post,Mon 4/15,LAC,L,131,135,34.0,8-18,8,18,44.4,5-11,5,11,45.5,8-8,8,8,100.0,1,6,0,3,4,4,29
2018-2019,Post,Sat 4/13,LAC,W,121,104,37.0,11-16,11,16,68.8,8-12,8,12,66.7,8-9,8,9,88.9,15,7,1,0,4,4,38
